what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1377250072661
stopped,bundle,org.eclipse.cdt.codan.ui,2.0.0.201109151620,"org.eclipse.cdt.codan.ui",1377250072670
stopped,bundle,org.eclipse.linuxtools.cdt.libhover,1.1.0.201108301805,"org.eclipse.linuxtools.cdt.libhover",1377250072670
stopped,bundle,org.eclipse.linuxtools.rpm.rpmlint,0.4.3.201108301805,"org.eclipse.linuxtools.rpm.rpmlint",1377250072687
stopped,bundle,org.eclipse.linuxtools.rpm.ui.editor,0.4.3.201108301805,"org.eclipse.linuxtools.rpm.ui.editor",1377250072687
stopped,bundle,org.eclipse.linuxtools.changelog.core,2.7.0.201108301805,"org.eclipse.linuxtools.changelog.core",1377250072707
stopped,bundle,org.eclipse.linuxtools.dataviewers.annotatedsourceeditor,4.1.0.201108301805,"org.eclipse.linuxtools.dataviewers.annotatedsourceeditor",1377250072707
stopped,bundle,org.eclipse.cdt.ui,5.3.1.201109151620,"org.eclipse.cdt.ui",1377250072713
stopped,bundle,org.eclipse.linuxtools.valgrind.core,0.8.1.201108301805,"org.eclipse.linuxtools.valgrind.core",1377250072713
stopped,bundle,org.eclipse.cdt.core,5.3.1.201109151620,"org.eclipse.cdt.core",1377250072713
stopped,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1377250072714
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.200.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk",1377250072714
stopped,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1377250072718
stopped,bundle,org.eclipse.rse.importexport,1.2.200.v201105021534,"org.eclipse.rse.importexport",1377250072725
stopped,bundle,org.eclipse.rse.subsystems.shells.telnet,1.2.200.v201101042155,"org.eclipse.rse.subsystems.shells.telnet",1377250072726
stopped,bundle,org.eclipse.rse.shells.ui,3.0.301.R33x_v201107181530,"org.eclipse.rse.shells.ui",1377250072736
stopped,bundle,org.eclipse.rse.files.ui,3.2.1.R33x_v201109141647,"org.eclipse.rse.files.ui",1377250072743
stopped,bundle,org.eclipse.linuxtools.lttng.ui,0.3.1.201108301805,"org.eclipse.linuxtools.lttng.ui",1377250072753
stopped,bundle,org.eclipse.tm.tcf.rse,0.4.0.201109151255,"org.eclipse.tm.tcf.rse",1377250072755
stopped,bundle,org.eclipse.rse.processes.ui,3.0.300.v201101042155,"org.eclipse.rse.processes.ui",1377250072766
stopped,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1377250072774
stopped,bundle,org.eclipse.mylyn.commons.team,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.team",1377250072774
stopped,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1377250072774
stopped,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1377250072774
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1377250072774
